,Baker,Signature,Technical,Showstopper,episode_number,episode_theme,season
0,Ali,Italian Grissini,9th,Sweet and Savoury Yin Yang Bread,1,_Cakes,4
1,Beca,Fennel and Chilli Breadsticks,11th,Five Strand Christmas Wreath,1,_Cakes,4
2,Christine,Mediterranean Breadsticks with Oregano,4th,Double Plaited Loaf,1,_Cakes,4
3,Deborah,Fennel & Chilli Breadsticks,8th,Walnut Fleur Loaf,1,_Cakes,4
4,Frances,Giant Matchsticks,2nd,Sailor's Knot,1,_Cakes,4
5,Glenn,Rosemary and Parmesan Grissini,7th,Harvest Crown,1,_Cakes,4
6,Howard,Moroccan Breadsticks,10th,Picasso Sun Bread,1,_Cakes,4
7,Kimberley,Nigella Seed and Parmesan Breadsticks,1st,Peace Bread,1,_Cakes,4
8,Lucy,Grissini with Salt,12th,Roast Tomato Bread,1,_Cakes,4
9,Mark,Rosemary & Raisin Breadsticks,6th,Sage & Garlic Plait,1,_Cakes,4
10,Robert,Twisty Rye Bread Sticks,5th,Tribute Loaf,1,_Cakes,4
11,Ruby,Mexican Breadsticks,3rd,White Chocolate and Orange Peacock Bread,1,_Cakes,4
0,Ali,"Coconut, Raspberry and Lemon Meringue Trifle",5th,Vanilla Latte Mini CakesLime & Mint Shortbread Pops,2,_Bread,4
1,Beca,Orange and Ginger Trifle,10th,Limoncello and Blueberry BurstsMillionaire Shortbread,2,_Bread,4
2,Christine,Caribbean Pina Colada Trifle,4th,Ninety-NinersSachertorte Parcels,2,_Bread,4
3,Deborah,Tropical Trifle*,9th,Canelé Cherry and Chocolate CakesRose Cookies,2,_Bread,4
4,Frances,Apple and Blackberry Crumble Trifle,8th,'Ballet Bites' Ginger NutcrackersSugar Plum Fairy Cakes,2,_Bread,4
5,Glenn,Raspberry and Almond Trifle,1st,Billionaire BouchéesOrange Financiers,2,_Bread,4
6,Howard,Caramel and Apple Trifle*,7th,Black Coffee and Cardamom CakesWhite Stilton and Pear Biscuits,2,_Bread,4
7,Kimberley,"Peach, Almond and Ginger Trifle",6th,Chocolate Pistachio FinanciersLemon Bergamot Biscuits,2,_Bread,4
8,Mark,"Ginger, Mango and Passion Fruit Trifle",11th,Rose and Pistachio MacaroonsChocolate and Raspberry Bites,2,_Bread,4
9,Robert,Rhubarb and Orange Trifle,2nd,Almond FriandsTurǫn Macaroons,2,_Bread,4
10,Ruby,Desert Island Trifle,3rd,Lemon Shortbread and White Chocolate SeashellsBlackberry and Chocolate Layer Cakes,2,_Bread,4
0,Ali,Apple and Ginger Pie with a Pecan and Walnut Shortcrust Pastry,8th,"Orange, Cardamom and Date M'Hanncha",3,_Desserts,4
1,Beca,Mamgu's Cherry-Apple Tart,2nd,Moroccan Vegetable Filo Feast,3,_Desserts,4
